Index_No,Chemical_Name,CAS_No,Hazard_Statement_Codes,SCL_M_Factors
029-018-00-7,tetracopper hexahydroxide sulphate [1] | tetracopper hexahydroxide sulphate hydrate [2] |,1333-22-8 [1] | 12527-76-3 [2] |,H302 | H400 | H410 |,Oral: ATE = 500 mg/kg bw | M=10 | M=10 |
029-019-01-X,copper flakes (coated with aliphatic acid),,H331 | H302 | H319 | H400 | H410 |,Inhalation: ATE = 0.733 mg/L (dusts/mists) | Oral: ATE = 500 mg/kg bw | M=10 | M=10 |
029-020-00-8,copper(II) carbonate--copper(II) hydroxide (1:1),12069-69-1,H332 | H302 | H319 | H400 | H410 |,Inhalation: ATE = 1.2 mg/L (dusts/mists) | Oral: ATE = 500 mg/kg bw | M=10 | M=10 |
029-021-00-3,copper dihydroxide; copper(II) hydroxide,20427-59-2,H330 | H302 | H318 | H400 | H410 |,Inhalation: ATE = 0.47 mg/L (dusts/mists) | Oral: ATE = 500 mg/kg bw | M=10 | M=10 |
029-022-00-9,bordeaux mixture; | reaction products of copper sulphate with calcium dihydroxide,8011-63-0,H332 | H318 | H400 | H410 |,Inhalation: ATE = 1.97 mg/L (dusts/mists) | M=10 | M=1 |
029-023-00-4,copper sulphate pentahydrate,7758-99-8,H302 | H318 | H400 | H410 |,Oral: ATE = 481 mg/kg bw | M=10 | M=1 |
029-025-00-5,"bis(N-hydroxy-N-ni­trosocyclohexylamina­to-O,O’)copper; bis(N-cyclohexyl-diazenium-dioxy)-copper; [Cu-HDO]",312600-89-8,H228 | H302 | H373 (liver) | H318 | H400 | H410 |,Oral: ATE = 360 mg/kg bw | M=1 | M=1 |
047-003-00-3,"silver zinc zeolite (Zeolite, LTA framework type, surface-modified with silver and zinc ions) | [This entry covers LTA (Linde Type A) framework type zeolite which has been surface-modified with both silver and zinc ions at contents Ag+ 0,5 %-6 %, Zn2 + 5 %-16 %, and potentially with phosphorus, NH4+, Mg2+ and/or Ca2+ each at level < 3 %]",130328-20-0,H361d | H315 | H318 | H400 | H410 |,M=100 | M=100 |
050-002-00-0,cyhexatin (ISO); hydroxytricyclohexylstannane; tri(cyclohexyl)tin hydroxide,13121-70-5,H332 | H312 | H302 | H400 | H410 |,M=1000 |
050-003-00-6,fentin acetate (ISO); triphenyltin acetate,900-95-8,H351 | H361d *** | H330 | H311 | H301 | H335 | H372 ** | H315 | H318 | H400 | H410 |,M=10 |
050-004-00-1,fentin hydroxide (ISO); triphenyltin hydroxide,76-87-9,H351 | H361d *** | H330 | H311 | H301 | H335 | H372 ** | H315 | H318 | H400 | H410 |,M=10 |
050-008-00-3,"tributyltin compounds, with the exception of those specified elsewhere in this annex",,H360FD | H301 | H312 | H372 ** | H315 | H319 | H400 | H410 |,"* | STOT RE 1; H372: C ≥ 1 % | STOT RE 2; H373: 0,25 % ≤ C < 1 % | Skin Irrit. 2; H315: C ≥ 1 % | Eye Irrit. 2; H319: C ≥ 1 % | M=10 |"
050-011-00-X,"triphenyltin compounds, with the exception of those specified elsewhere in this Annex",-,H331 | H311 | H301 | H400 | H410 |,* | M=100 |
050-022-00-X,dibutyltin dichloride; (DBTC),683-18-1,H341 | H360FD | H330 | H301 | H312 | H372 ** | H314 | H400 | H410 |,"Skin Corr. 1B; H314: C ≥ 5 % | Skin Irrit. 2; H315: 0,01 % ≤ C < 5 % | Eye Dam. 1; H318: 3 % ≤ C < 5 % | Eye Irrit. 2; H319: 0,01 % ≤ C < 3 % | M=10 |"
050-023-00-5,"reaction mass of: bis[(2-ethyl-1-oxohexyl)oxy]dioctyl stannane; bis[((2-ethyl-1-oxohexyl)oxy)dioctylstannyl]oxide; bis(1-phenyl-1,3-decanedionyl)dioctyl stannane; ((2-ethyl-1-oxohexyl)oxy)-(1-phenyl-1,3-decanedionyl)dioctyl stannane",-,H373 ** | H400 | H410 |,M=10 |
601-033-00-9,benz[a]anthracene,56-55-3,H350 | H400 | H410 |,M=100 |
